County,location,year,building_starts,cost_ratio,overall_homeless,homeless_percapita,govt_spend,rc_project,total_units,rc_units,rc_status
Multnomah,Portland,2019,,,,,,5109 NE Killingsworth St,60,,
Multnomah,Portland,2019,,,,,,13907 SE Division St,12,,
Multnomah,Portland,2019,,,,,,10535 E Burnside St,74,,
Multnomah,Portland,2019,,,,,,5700 N Kerby Ave,102,,
Multnomah,Portland,2019,,,,,,8510 N Swift Way,98,,
Multnomah,Portland,2019,,,,,,130 NE Lombard St,5,,
Multnomah,Portland,2019,,,,,,7622 N Glouchester St,4,,
Multnomah,Portland,2019,,,,,,4605 NE 95th Ave,28,,
Multnomah,Portland,2019,,,,,,5845 NE Hoyt St,60,,
Multnomah,Portland,2019,,,,,,9020 N Central St,20,,
Multnomah,Portland,2019,,,,,,6905 N Interstate,51,,
Multnomah,Portland,2019,,,,,,1910 SE Stark St,10,,
Multnomah,Portland,2019,,,,,,1019 SW 10th Ave,83,,
Multnomah,Portland,2019,,,,,,1437 SE Martin Luther King Jr Blvd,22,,
Multnomah,Portland,2019,,,,,,527 SE Morrison St,90,,
Multnomah,Portland,2019,,,,,,2730 SE 92nd Ave,29,,
Multnomah,Portland,2019,,,,,,1730 SW Jefferson St,52,,
Multnomah,Portland,2019,,,,,,8320 NE Sandy Blvd,362,,
Multnomah,Portland,2019,,,,,,4629 NE 118th Ave,7,,
Multnomah,Portland,2019,,,,,,5800 NE Center Commons Wy,172,,
Multnomah,Portland,2019,,,,,,325 NW 18th Ave,18,,
Multnomah,Portland,2019,,,,,,4207 SE 37th Ave,10,,
Multnomah,Portland,2019,,,,,,6724 SE 72nd Ave,32,,
Multnomah,Portland,2019,,,,,,14135 SE Division St,20,,
Multnomah,Portland,2019,,,,,,SE 171st Ave and SE Division,78,,
Multnomah,Portland,2019,,,,,,915 NE Schuyler St,115,,
Multnomah,Portland,2019,,,,,,101 N Morris St,67,,
Multnomah,Portland,2019,,,,,,7003 NE 27th Ave,40,,
Multnomah,Portland,2019,,,,,,2700 SE 148th Ave,18,,
Multnomah,Portland,2019,,,,,,2645 SE 127th Ave,8,,
Multnomah,Portland,2019,,,,,,2545 E Burnside,30,,
Multnomah,Portland,2019,,,,,,17527 SE Pine St,7,,
Multnomah,Portland,2019,,,,,,100 NE 120th Ave,61,,
Multnomah,Portland,2019,,,,,,3709 SE 91st Ave,7,,
Multnomah,Portland,2019,,,,,,18208 SE Yamhill St,31,,
Multnomah,Portland,2019,,,,,,2016 SE 122nd Ave,17,,
Multnomah,Portland,2019,,,,,,2417 NE Rodney Ave,30,,
Multnomah,Portland,2019,,,,,,5305 NE 11th Ave,5,,
Multnomah,Portland,2019,,,,,,5312 NE 13th Ave,16,,
Multnomah,Portland,2019,,,,,,5520 NE Glisan,40,,
Multnomah,Portland,2019,,,,,,5507 NE 27th Ave,26,,
Multnomah,Portland,2019,,,,,,9 NW 2nd Ave,62,,
Multnomah,Portland,2019,,,,,,3611 SE 28th Ave,70,,
Multnomah,Portland,2019,,,,,,225 NW Couch St,191,,
Multnomah,Portland,2019,,,,,,5421 NE 14th Pl,9,,
Multnomah,Portland,2019,,,,,,1117 SW Stark St,81,,
Multnomah,Portland,2019,,,,,,4716 N Mississippi,30,,
Multnomah,Portland,2019,,,,,,4105 SW Beaverton-Hillsdale Hwy,24,,
Multnomah,Portland,2019,,,,,,8428 N Fenwick Ave,27,,
Multnomah,Portland,2019,,,,,,14232 E Burnside,33,,
Multnomah,Portland,2019,,,,,,314 NW 5th Ave,70,,
Multnomah,Portland,2019,,,,,,19401 SE Yamhill St,31,,
Multnomah,Portland,2019,,,,,,4820 SE 122nd Ave,30,,
Multnomah,Portland,2019,,,,,,8012 SE Raymond St,19,,
Multnomah,Portland,2019,,,,,,12608 SE Foster Rd,20,,
Multnomah,Portland,2019,,,,,,1031 SE 106th Ave,50,,
Multnomah,Portland,2019,,,,,,929 SW Salmon St,70,,
Multnomah,Portland,2019,,,,,,221 NE Fremont St,28,,
Multnomah,Portland,2019,,,,,,2140 NW Kearney St,85,,
Multnomah,Portland,2019,,,,,,3140 SE 136th Ave,63,,
Multnomah,Portland,2019,,,,,,3024 NE Martin Luther King Jr Blvd,51,,
Multnomah,Portland,2019,,,,,,501 NE Albert St,5,,
Multnomah,Portland,2019,,,,,,510 NE 100th Ave,144,,
Multnomah,Portland,2019,,,,,,610 NE 99th,60,,
Multnomah,Portland,2019,,,,,,12020 SE Gladstone St,48,,
Multnomah,Portland,2019,,,,,,555 NE 100th Ave,67,,
Multnomah,Portland,2019,,,,,,2375 NW Glisan,5,,
Multnomah,Portland,2019,,,,,,707 NW Everett,68,,
Multnomah,Portland,2019,,,,,,5717 NE Simpson St,5,,
Multnomah,Portland,2019,,,,,,1839 NE 14th Ave,95,,
Multnomah,Portland,2019,,,,,,4936 NE 10th Ave,3,,
Multnomah,Portland,2019,,,,,,418 SE Grand Ave,42,,
Multnomah,Portland,2019,,,,,,0650 SW Lowell St,42,,
Multnomah,Portland,2019,,,,,,4545 NE 125th Pl,8,,
Multnomah,Portland,2019,,,,,,2405 SE 142nd Ave,11,,
Multnomah,Portland,2019,,,,,,620 SE 148th Ave,31,,
Multnomah,Portland,2019,,,,,,1240 SW Columbia St,129,,
Multnomah,Portland,2019,,,,,,12428 NE Halsey,15,,
Multnomah,Portland,2019,,,,,,18940 NE Halsey St,6,,
Multnomah,Portland,2019,,,,,,1212 SW Clay St,152,,
Multnomah,Portland,2019,,,,,,2270 SE 39th Ave,5,,
Multnomah,Portland,2019,,,,,,4023 SE 112th Ave,10,,
Multnomah,Portland,2019,,,,,,3423 SE 69th Ave,3,,
Multnomah,Portland,2019,,,,,,1420 SE 16th Ave,71,,
Multnomah,Portland,2019,,,,,,12621 SE Stark,153,,
Multnomah,Portland,2019,,,,,,36 NE 147th Ave,60,,
Multnomah,Portland,2019,,,,,,10 NW Broadway,105,,
Multnomah,Portland,2019,,,,,,309 SW Fourth Ave,153,,
Multnomah,Portland,2019,,,,,,110 SW Arthur,39,,
Multnomah,Portland,2019,,,,,,4601 SE Cesar E Chavez Blvd,80,,
Multnomah,Portland,2019,,,,,,4333 SE 104th Ave,48,,
Multnomah,Portland,2019,,,,,,12012 SE Holgate Blvd,10,,
Multnomah,Portland,2019,,,,,,2310 NE Weidler St,28,,
Multnomah,Portland,2019,,,,,,4400 NE Broadway,286,,
Multnomah,Portland,2019,,,,,,1264 SW Cheltenhem St,12,,
Multnomah,Portland,2019,,,,,,415 SW Alder St,99,,
Multnomah,Portland,2019,,,,,,2644 SE Powell Blvd,12,,
Multnomah,Portland,2019,,,,,,5033 N Vancouver Ave,130,,
Multnomah,Portland,2019,,,,,,12725 SE Powell Blvd,10,,
Multnomah,Portland,2019,,,,,,1429 SW 14th Ave,58,,
Multnomah,Portland,2019,,,,,,6847 N Interstate Ave,12,,
Multnomah,Portland,2019,,,,,,14050 E Burnside St.,27,,
Multnomah,Portland,2019,,,,,,2629 SE 125th Ave,8,,
Multnomah,Portland,2019,,,,,,1510 SW 13th Ave,48,,
Multnomah,Portland,2019,,,,,,1201 SW 11th Ave,80,,
Multnomah,Portland,2019,,,,,,7531 SE Steele St,17,,
Multnomah,Portland,2019,,,,,,7940 SE 72nd Ave,15,,
Multnomah,Portland,2019,,,,,,9707 SE Holgate Blvd,9,,
Multnomah,Portland,2019,,,,,,3640 SE 28th Ave,50,,
Multnomah,Portland,2019,,,,,,850 NW 20th Ave,32,,
Multnomah,Portland,2019,,,,,,3214 SE Holgate Blvd,77,,
Multnomah,Portland,2019,,,,,,3921 SE 69th Ave,5,,
Multnomah,Portland,2019,,,,,,29th & Killingsworth,5,,
Multnomah,Portland,2019,,,,,,101 NE Knott,14,,
Multnomah,Portland,2019,,,,,,3530 SE 84th Ave,282,,
Multnomah,Portland,2019,,,,,,303 N Beach St,4,,
Multnomah,Portland,2019,,,,,,3940 N Haight Ave,18,,
Multnomah,Portland,2019,,,,,,7906 SE 72nd Ave,38,,
Multnomah,Portland,2019,,,,,,15514 SE Division St,75,,
Multnomah,Portland,2019,,,,,,8728 SE Lafayette St,5,,
Multnomah,Portland,2019,,,,,,804 SE Cesar E Chavez Blvd,23,,
Multnomah,Portland,2019,,,,,,4620 SE 122nd Ave,37,,
Multnomah,Portland,2019,,,,,,9101 SE Foster,54,,
Multnomah,Portland,2019,,,,,,6102 SE 86th Ave,5,,
Multnomah,Portland,2019,,,,,,10325 SE Holgate Blvd,63,,
Multnomah,Portland,2019,,,,,,1125 SW 12th Ave,54,,
Multnomah,Portland,2019,,,,,,7860 SE 72nd Ave,20,,
Multnomah,Portland,2019,,,,,,2409 SE 139th Ave,4,,
Multnomah,Portland,2019,,,,,,2333 SE 130th Ave,70,,
Multnomah,Portland,2019,,,,,,111 NE 162nd Ave,17,,
Multnomah,Portland,2019,,,,,,5530 NE 60th Ave,43,,
Multnomah,Portland,2019,,,,,,1040 NW 10th Ave,181,,
Multnomah,Portland,2019,,,,,,705 N Fremont St,18,,
Multnomah,Portland,2019,,,,,,517 NE Sacramento,56,,
Multnomah,Portland,2019,,,,,,127 NW 6th Ave,42,,
Multnomah,Portland,2019,,,,,,17810 E Burnside St,45,,
Multnomah,Portland,2019,,,,,,10 N Weidler St,176,,
Multnomah,Portland,2019,,,,,,1700 NE Alberta St,9,,
Multnomah,Portland,2019,,,,,,3250 NE Martin Luther King Jr Blvd,50,,
Multnomah,Portland,2019,,,,,,3800 NE Mallory Ave,48,,
Multnomah,Portland,2019,,,,,,2020 SE Marion St,24,,
Multnomah,Portland,2019,,,,,,13541 SE Market St,5,,
Multnomah,Portland,2019,,,,,,644 SE 148th Ave,25,,
Multnomah,Portland,2019,,,,,,2020 NW Northrup St,243,,
Multnomah,Portland,2019,,,,,,1115 SW 11th Ave,108,,
Multnomah,Portland,2019,,,,,,6620 NE 6th Ave,16,,
Multnomah,Portland,2019,,,,,,7200 SE Woodstock Blvd,40,,
Multnomah,Portland,2019,,,,,,7704 SE Raymond,5,,
Multnomah,Portland,2019,,,,,,4012 N Borthwick,42,,
Multnomah,Portland,2019,,,,,,17675 SE Pine St,30,,
Multnomah,Portland,2019,,,,,,4310 NE Martin Luther King Jr Blvd,55,,
Multnomah,Portland,2019,,,,,,236 N Killingsworth St,36,,
Multnomah,Portland,2019,,,,,,1969 NW Johnson St,90,,
Multnomah,Portland,2019,,,,,,506 NW 5th Ave,62,,
Multnomah,Portland,2019,,,,,,7660 E Burnside St,20,,
Multnomah,Portland,2019,,,,,,217 NE 192nd Ave,5,,
Multnomah,Portland,2019,,,,,,2830 SE 127th Ave,46,,
Multnomah,Portland,2019,,,,,,6633 N Oberlin St,15,,
Multnomah,Portland,2019,,,,,,1306 NE 2nd Ave,47,,
Multnomah,Portland,2019,,,,,,8901 N Newell Ave,32,,
Multnomah,Portland,2019,,,,,,205 NW Couch St,34,,
Multnomah,Portland,2019,,,,,,1103 NE Roselawn St,7,,
Multnomah,Portland,2019,,,,,,1959 SW Morrison St,140,,
Multnomah,Portland,2019,,,,,,623 SW Park Ave,60,,
Multnomah,Portland,2019,,,,,,9110 NE Hassalo St,53,,
Multnomah,Portland,2019,,,,,,216 NW 3rd Ave,95,,
Multnomah,Portland,2019,,,,,,2600 N Williams Ave,19,,
Multnomah,Portland,2019,,,,,,5110 SE 76th Ave,16,,
Multnomah,Portland,2019,,,,,,5205 SE 86th Ave,40,,
Multnomah,Portland,2019,,,,,,7622 N Gloucester,7,,
Multnomah,Portland,2019,,,,,,4605 N Trenton St,539,,
Multnomah,Portland,2019,,,,,,8710 N Dana Ave,15,,
Multnomah,Portland,2019,,,,,,10036 N Oswego Ave,5,,
Multnomah,Portland,2019,,,,,,335 NW 19th Ave,174,,
Multnomah,Portland,2019,,,,,,8118 SE Division St,48,,
Multnomah,Portland,2019,,,,,,1484 NE Alberta St,11,,
Multnomah,Portland,2019,,,,,,1132 SW 13th Ave,10,,
Multnomah,Portland,2019,,,,,,333 NW 4th Ave,156,,
Multnomah,Portland,2019,,,,,,13130 SE Powell Blvd,19,,
Multnomah,Portland,2019,,,,,,315 N Alberta St,88,,
Multnomah,Portland,2019,,,,,,731 SW Salmon St,162,,
Multnomah,Portland,2019,,,,,,10918 SE Stark St,59,,
Multnomah,Portland,2019,,,,,,4619 N Michigan Ave,63,,
Multnomah,Portland,2019,,,,,,5272 N Interstate Ave,47,,
Multnomah,Portland,2019,,,,,,37 NE 127th Ave,11,,
Multnomah,Portland,2019,,,,,,2835 SE 47th Ave,69,,
Multnomah,Portland,2019,,,,,,920 NW Kearney St,199,,
Multnomah,Portland,2019,,,,,,1530 SW 13th Ave,93,,
Multnomah,Portland,2019,,,,,,12713 SE Powell Blvd,22,,
Multnomah,Portland,2019,,,,,,8734 N Columbia Blvd,164,,
Multnomah,Portland,2019,,,,,,12025 SE Pine St,24,,
Multnomah,Portland,2019,,,,,,140 SE 188th Ave,66,,
Multnomah,Portland,2019,,,,,,220 SE 106th Ave,10,,
Multnomah,Portland,2019,,,,,,10801 NE Fremont St,6,,
Multnomah,Portland,2019,,,,,,5802 N Michigan Ave,68,,
Multnomah,Portland,2019,,,,,,2105 SE Powell Blvd,19,,
Multnomah,Portland,2019,,,,,,12540 SE Powell Ct,68,,
Multnomah,Portland,2019,,,,,,13320 SE Powell Blvd,67,,
Multnomah,Portland,2019,,,,,,11200 SE Holgate Blvd,34,,
Multnomah,Portland,2019,,,,,,5802 NE Prescott St,20,,
Multnomah,Portland,2019,,,,,,5725 NE Prescott St,50,,
Multnomah,Portland,2019,,,,,,5921 E Burnside,39,,
Multnomah,Portland,2019,,,,,,6244 N Columbia Way,32,,
Multnomah,Portland,2019,,,,,,1550 NW 14th Ave,139,,
Multnomah,Portland,2019,,,,,,8940 SE Reedway St,24,,
Multnomah,Portland,2019,,,,,,1230 SE Morrison St,62,,
Multnomah,Portland,2019,,,,,,8 NW 8th Ave,180,,
Multnomah,Portland,2019,,,,,,4147 SE Division St,20,,
Multnomah,Portland,2019,,,,,,8870 N Columbia Blvd,97,,
Multnomah,Portland,2019,,,,,,1225 SE Belmont St,85,,
Multnomah,Portland,2019,,,,,,124 NE 181st Ave,47,,
Multnomah,Portland,2019,,,,,,19045 SE Yamhill,37,,
Multnomah,Portland,2019,,,,,,scattered sites,4,,
Multnomah,Portland,2019,,,,,,1430 SW 12th Ave,233,,
Multnomah,Portland,2019,,,,,,18173 NE Couch St,45,,
Multnomah,Portland,2019,,,,,,424 NW 21st Ave,31,,
Multnomah,Portland,2019,,,,,,597 North Dekum St,100,,
Multnomah,Portland,2019,,,,,,621 N Saratoga St,18,,
Multnomah,Portland,2019,,,,,,1218 SW Washington St,76,,
Multnomah,Portland,2019,,,,,,310 NW Flanders St,30,,
Multnomah,Portland,2019,,,,,,6005 SW Beaverton-Hillsdale Hwy,73,,
Multnomah,Portland,2019,,,,,,3911 SE Milwaukie Ave,68,,
Multnomah,Portland,2019,,,,,,4610 N Maryland Ave,13,,
Multnomah,Portland,2019,,,,,,532 NW Everett St,95,,
Multnomah,Portland,2019,,,,,,11401 NE Sandy Blvd,14,,
Multnomah,Portland,2019,,,,,,9326 SE Schiller St,24,,
Multnomah,Portland,2019,,,,,,8832 N Syracuse St,118,,
Multnomah,Portland,2019,,,,,,13223 SE Powell Blvd,42,,
Multnomah,Portland,2019,,,,,,7927 SW 31st Ave,20,,
Multnomah,Portland,2019,,,,,,1724 SE Tenino St,110,,
Multnomah,Portland,2019,,,,,,247 SE 160th Ave,62,,
Multnomah,Portland,2019,,,,,,375 NE Shaver St,85,,
Multnomah,Portland,2019,,,,,,123 W Burnside St,62,,
Multnomah,Portland,2019,,,,,,1865 NE Davis St,76,,
Multnomah,Portland,2019,,,,,,1115 NW Northrup St,209,,
Multnomah,Portland,2019,,,,,,4702 SW Slavin Rd,24,,
Multnomah,Portland,2019,,,,,,117 SE 151st Ave,27,,
Multnomah,Portland,2019,,,,,,650 SE 162nd Ave,72,,
Multnomah,Portland,2019,,,,,,6430 SE 128th Ave,36,,
Multnomah,Portland,2019,,,,,,3560 SE 79th Ave,126,,
Multnomah,Portland,2019,,,,,,1024 SW Main St,132,,
Multnomah,Portland,2019,,,,,,1177 SE Stark,106,,
Multnomah,Portland,2019,,,,,,4941 NE 10th Ave,3,,
Multnomah,Portland,2019,,,,,,1320 SW 10th Ave,109,,
Multnomah,Portland,2019,,,,,,8803 N Lombard St,38,,
Multnomah,Portland,2019,,,,,,8652 N Swift Way,124,,
Multnomah,Portland,2019,,,,,,737 SW 17th Ave,114,,
Multnomah,Portland,2019,,,,,,450 SE 127th Ave,60,,
Multnomah,Portland,2019,,,,,,1020 NW 9th Ave,176,,
Multnomah,Portland,2019,,,,,,304 SE 162nd Ave,43,,
Multnomah,Portland,2019,,,,,,6719 SW 26th Ave,124,,
Multnomah,Portland,2019,,,,,,7810 SE Foster Rd,50,,
Multnomah,Portland,2019,,,,,,5724 NE Prescott St,10,,
Multnomah,Portland,2019,,,,,,8066 SE Taggart St,24,,
Multnomah,Portland,2019,,,,,,4111 N Alaska St,118,,
Multnomah,Portland,2019,,,,,,1330 SE Taylor St,10,,
Multnomah,Portland,2019,,,,,,8028 SE 7th Ave,6,,
Multnomah,Portland,2019,,,,,,2405 SE Umatilla St,94,,
Multnomah,Portland,2019,,,,,,5135 SE 73rd Ave,16,,
Multnomah,Portland,2019,,,,,,7622 N Gloucester St,34,,
Multnomah,Portland,2019,,,,,,3001 SE 136th Ave,32,,
Multnomah,Portland,2019,,,,,,4720 N Trenton St,66,,
