CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Property,Downtown,11/11/22,1800,Larceny Offenses,Theft From Motor Vehicle,11/11/22,1,2022
Property,Downtown,12/17/22,0922,Larceny Offenses,Theft From Building,12/21/22,1,2022
Property,Downtown,7/24/22,0900,Larceny Offenses,Theft From Motor Vehicle,7/24/22,1,2022
Person,Downtown,2/19/22,0734,Assault Offenses,Aggravated Assault,2/19/22,2,2022
Person,Downtown,2/19/22,0734,Assault Offenses,Simple Assault,2/19/22,1,2022
Society,Downtown,2/19/22,0734,Weapon Law Violations,Weapons Law Violations,2/19/22,1,2022
Person,Downtown,4/30/22,1129,Assault Offenses,Aggravated Assault,4/30/22,1,2022
Person,Downtown,4/30/22,1129,Assault Offenses,Simple Assault,4/30/22,1,2022
Person,Downtown,8/30/22,1612,Assault Offenses,Simple Assault,8/30/22,1,2022
Property,Downtown,11/28/22,1900,Motor Vehicle Theft,Motor Vehicle Theft,11/29/22,1,2022
Property,Downtown,12/1/22,1630,Vandalism,Vandalism,12/2/22,1,2022
Property,Downtown,3/24/22,1445,Larceny Offenses,Theft From Motor Vehicle,3/24/22,1,2022
Property,Downtown,5/12/22,0545,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,5/12/22,1,2022
Property,Downtown,9/2/22,0934,Vandalism,Vandalism,9/2/22,1,2022
Property,Downtown,6/4/22,1900,Vandalism,Vandalism,6/5/22,1,2022
Property,Downtown,9/2/22,1200,Motor Vehicle Theft,Motor Vehicle Theft,9/4/22,1,2022
Property,Downtown,12/10/22,0400,Vandalism,Vandalism,12/12/22,1,2022
Property,Downtown,12/19/22,1715,Vandalism,Vandalism,12/19/22,1,2022
Person,Downtown,8/17/22,1554,Assault Offenses,Aggravated Assault,8/17/22,1,2022
Person,Downtown,8/19/22,2311,Assault Offenses,Aggravated Assault,8/19/22,1,2022
Property,Downtown,10/30/22,1700,Larceny Offenses,Theft From Motor Vehicle,10/30/22,1,2022
Property,Downtown,7/24/22,0605,Larceny Offenses,Theft From Motor Vehicle,7/24/22,1,2022
Property,Downtown,7/24/22,0605,Vandalism,Vandalism,7/24/22,1,2022
Property,Downtown,11/24/22,0430,Larceny Offenses,Theft From Motor Vehicle,11/26/22,1,2022
Property,Downtown,4/25/22,0810,Vandalism,Vandalism,4/26/22,1,2022
Property,Downtown,6/6/22,1945,Burglary,Burglary,6/6/22,1,2022
Property,Downtown,8/12/22,1317,Burglary,Burglary,8/15/22,1,2022
Property,Downtown,4/1/22,0120,Burglary,Burglary,4/5/22,1,2022
Property,Downtown,5/12/22,1220,Larceny Offenses,Theft From Motor Vehicle,5/12/22,1,2022
Property,Downtown,6/4/22,1050,Vandalism,Vandalism,6/4/22,1,2022
Property,Downtown,6/3/22,1700,Vandalism,Vandalism,6/5/22,1,2022
Property,Downtown,7/16/22,0800,Larceny Offenses,Theft From Motor Vehicle,7/16/22,1,2022
Property,Downtown,11/9/22,1905,Vandalism,Vandalism,11/10/22,1,2022
Property,Downtown,11/10/22,0400,Vandalism,Vandalism,11/10/22,1,2022
Property,Downtown,2/15/22,0530,Burglary,Burglary,2/15/22,1,2022
Property,Downtown,4/29/22,0406,Burglary,Burglary,4/29/22,1,2022
Property,Downtown,5/13/22,1800,Motor Vehicle Theft,Motor Vehicle Theft,5/14/22,1,2022
Property,Downtown,5/24/22,0700,Motor Vehicle Theft,Motor Vehicle Theft,5/24/22,1,2022
Person,Downtown,7/16/22,2034,Assault Offenses,Aggravated Assault,7/16/22,1,2022
Society,Downtown,7/16/22,2034,Weapon Law Violations,Weapons Law Violations,7/16/22,1,2022
Property,Downtown,10/9/22,2200,Motor Vehicle Theft,Motor Vehicle Theft,10/10/22,2,2022
Property,Downtown,11/14/22,1700,Larceny Offenses,Theft From Building,11/15/22,1,2022
Property,Downtown,8/3/22,0430,Vandalism,Vandalism,8/3/22,1,2022
Property,Downtown,12/14/22,0720,Vandalism,Vandalism,12/14/22,1,2022
Person,Downtown,1/20/22,1016,Assault Offenses,Simple Assault,1/20/22,1,2022
Property,Downtown,2/12/22,0001,Burglary,Burglary,2/12/22,1,2022
Property,Downtown,4/9/22,2200,Larceny Offenses,All Other Larceny,4/10/22,1,2022
Property,Downtown,4/26/22,1200,Burglary,Burglary,4/27/22,1,2022
Property,Downtown,4/26/22,1200,Fraud Offenses,Credit Card/ATM Fraud,4/27/22,1,2022
Person,Downtown,5/24/22,1921,Assault Offenses,Intimidation,5/24/22,1,2022
Property,Downtown,5/24/22,1921,Vandalism,Vandalism,5/24/22,1,2022
Property,Downtown,6/18/22,1600,Larceny Offenses,All Other Larceny,6/18/22,1,2022
Property,Downtown,7/12/22,0844,Vandalism,Vandalism,7/12/22,1,2022
Person,Downtown,8/21/22,1031,Assault Offenses,Simple Assault,8/21/22,2,2022
Property,Downtown,9/4/22,1402,Robbery,Robbery,9/4/22,1,2022
Property,Downtown,11/2/22,2300,Vandalism,Vandalism,11/3/22,1,2022
Person,Downtown,11/27/22,1906,Assault Offenses,Simple Assault,11/27/22,1,2022
Property,Downtown,12/16/22,1830,Larceny Offenses,Purse-Snatching,12/16/22,1,2022
Property,Downtown,12/16/22,1830,Vandalism,Vandalism,12/16/22,1,2022
Property,Downtown,12/17/22,1147,Burglary,Burglary,12/17/22,1,2022
Property,Downtown,12/1/21,2000,Fraud Offenses,Identity Theft,4/17/22,1,2022
Property,Downtown,6/22/22,0120,Larceny Offenses,All Other Larceny,6/22/22,1,2022
Property,Downtown,9/15/22,1020,Larceny Offenses,All Other Larceny,9/15/22,1,2022
Property,Downtown,12/31/22,1537,Larceny Offenses,Theft From Building,12/31/22,1,2022
Property,Downtown,5/3/22,2108,Burglary,Burglary,5/3/22,1,2022
Property,Downtown,5/3/22,2108,Larceny Offenses,All Other Larceny,5/3/22,1,2022
Property,Downtown,5/3/22,2108,Vandalism,Vandalism,5/3/22,1,2022
Property,Downtown,1/20/22,0000,Motor Vehicle Theft,Motor Vehicle Theft,1/20/22,1,2022
Property,Downtown,2/27/22,1607,Robbery,Robbery,2/27/22,1,2022
Property,Downtown,6/4/22,2240,Larceny Offenses,Shoplifting,6/4/22,1,2022
Property,Downtown,6/17/22,2100,Vandalism,Vandalism,6/18/22,1,2022
Property,Downtown,8/12/22,1800,Burglary,Burglary,8/13/22,1,2022
Person,Downtown,8/15/22,1432,Assault Offenses,Simple Assault,8/15/22,1,2022
Property,Downtown,9/3/22,1419,Larceny Offenses,Shoplifting,9/3/22,1,2022
Person,Downtown,9/23/22,0822,Assault Offenses,Aggravated Assault,9/23/22,1,2022
Property,Downtown,9/23/22,0822,Vandalism,Vandalism,9/23/22,1,2022
Property,Downtown,10/16/22,1653,Burglary,Burglary,10/16/22,1,2022
Property,Downtown,12/17/22,0706,Vandalism,Vandalism,12/17/22,1,2022
Property,Downtown,12/27/21,0700,Vandalism,Vandalism,1/4/22,1,2022
Property,Downtown,1/18/22,2300,Larceny Offenses,Theft From Motor Vehicle,1/19/22,1,2022
Property,Downtown,1/30/22,1725,Larceny Offenses,Theft From Building,2/2/22,1,2022
Property,Downtown,2/3/22,0830,Larceny Offenses,Theft From Building,2/3/22,1,2022
Property,Downtown,2/19/22,1420,Larceny Offenses,Theft From Building,2/22/22,1,2022
Property,Downtown,2/26/22,1640,Larceny Offenses,All Other Larceny,2/27/22,1,2022
Property,Downtown,6/12/22,2100,Larceny Offenses,Theft From Motor Vehicle,6/13/22,1,2022
Property,Downtown,5/1/22,0000,Larceny Offenses,All Other Larceny,6/23/22,1,2022
Property,Downtown,8/22/22,0000,Vandalism,Vandalism,8/22/22,1,2022
Property,Downtown,8/21/22,1600,Larceny Offenses,Theft From Motor Vehicle,8/22/22,1,2022
Property,Downtown,9/6/22,2200,Larceny Offenses,Theft From Motor Vehicle,9/13/22,1,2022
Property,Downtown,9/13/22,0035,Larceny Offenses,All Other Larceny,9/18/22,1,2022
Property,Downtown,9/19/22,0000,Larceny Offenses,All Other Larceny,9/21/22,1,2022
Property,Downtown,11/3/22,2220,Vandalism,Vandalism,11/4/22,1,2022
Property,Downtown,11/10/22,0500,Fraud Offenses,Credit Card/ATM Fraud,11/10/22,1,2022
Property,Downtown,11/10/22,0500,Larceny Offenses,Theft From Motor Vehicle,11/10/22,1,2022
Property,Downtown,11/18/22,0606,Larceny Offenses,Theft From Building,11/21/22,1,2022
Property,Downtown,11/21/22,1245,Larceny Offenses,All Other Larceny,11/21/22,1,2022
Property,Downtown,11/22/22,0140,Vandalism,Vandalism,11/22/22,1,2022
Property,Downtown,11/25/22,0430,Larceny Offenses,Theft From Motor Vehicle,11/25/22,1,2022
Property,Downtown,11/27/22,2200,Vandalism,Vandalism,11/28/22,1,2022
Property,Downtown,7/10/22,2000,Larceny Offenses,Theft From Motor Vehicle,7/11/22,1,2022
Property,Downtown,6/25/22,0001,Burglary,Burglary,7/23/22,1,2022
Property,Downtown,11/9/22,1443,Larceny Offenses,Theft From Motor Vehicle,11/9/22,1,2022
Property,Downtown,7/2/22,0000,Burglary,Burglary,7/7/22,1,2022
Property,Downtown,9/19/22,0300,Vandalism,Vandalism,9/19/22,1,2022
Property,Downtown,1/27/22,1425,Vandalism,Vandalism,1/28/22,1,2022
Property,Downtown,4/22/22,1600,Larceny Offenses,Theft From Building,5/13/22,1,2022
Property,Downtown,3/15/22,1300,Burglary,Burglary,3/16/22,1,2022
Property,Downtown,3/15/22,1300,Fraud Offenses,Credit Card/ATM Fraud,3/16/22,1,2022
Property,Downtown,10/11/22,0910,Motor Vehicle Theft,Motor Vehicle Theft,10/11/22,1,2022
Property,Downtown,2/2/22,0815,Larceny Offenses,Theft From Motor Vehicle,2/5/22,1,2022
Property,Downtown,2/10/22,1910,Vandalism,Vandalism,2/11/22,1,2022
Property,Downtown,6/24/22,1800,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,6/27/22,1,2022
Property,Downtown,7/24/22,0615,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,7/25/22,1,2022
Property,Downtown,9/23/22,1400,Larceny Offenses,Theft From Motor Vehicle,9/23/22,1,2022
Property,Downtown,10/18/22,1245,Larceny Offenses,Theft From Motor Vehicle,10/18/22,1,2022
Property,Downtown,11/10/22,1830,Vandalism,Vandalism,11/13/22,1,2022
Property,Downtown,3/24/22,2200,Larceny Offenses,Theft From Motor Vehicle,3/26/22,1,2022
Property,Downtown,3/25/22,0445,Larceny Offenses,Theft From Motor Vehicle,4/25/22,1,2022
Property,Downtown,5/20/22,1930,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,5/25/22,1,2022
Property,Downtown,8/4/22,2125,Larceny Offenses,Theft From Motor Vehicle,8/5/22,1,2022
Property,Downtown,11/20/22,2015,Vandalism,Vandalism,11/21/22,1,2022
Property,Downtown,1/10/22,2230,Burglary,Burglary,1/11/22,1,2022
Property,Downtown,1/21/22,0700,Vandalism,Vandalism,1/21/22,1,2022
Property,Downtown,5/24/22,0006,Burglary,Burglary,5/24/22,1,2022
Property,Downtown,9/15/22,0413,Burglary,Burglary,9/15/22,1,2022
Property,Downtown,8/6/22,1730,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,8/10/22,1,2022
Property,Downtown,10/18/22,1955,Vandalism,Vandalism,10/19/22,1,2022
Property,Downtown,11/18/22,0100,Larceny Offenses,Theft From Motor Vehicle,11/18/22,1,2022
Property,Downtown,12/17/22,1000,Larceny Offenses,Theft From Motor Vehicle,12/18/22,1,2022
