CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate,OffenseCount,Year
Property,Downtown,6/4/18,1330,Larceny Offenses,Theft From Building,6/11/18,1,2018
Property,Downtown,7/3/18,2100,Larceny Offenses,Theft From Motor Vehicle,7/4/18,1,2018
Property,Downtown,7/26/18,2000,Larceny Offenses,Pocket-Picking,7/27/18,1,2018
Property,Downtown,8/17/18,1630,Larceny Offenses,Theft From Motor Vehicle,8/21/18,1,2018
Property,Downtown,10/16/18,1355,Fraud Offenses,Identity Theft,10/30/18,1,2018
Property,Downtown,4/12/18,0100,Vandalism,Vandalism,4/12/18,1,2018
Property,Downtown,1/2/18,0800,Embezzlement,Embezzlement,1/11/18,1,2018
Property,Downtown,2/8/18,2100,Vandalism,Vandalism,2/9/18,1,2018
Property,Downtown,6/3/18,1822,Larceny Offenses,Theft From Motor Vehicle,6/3/18,1,2018
Property,Downtown,6/3/18,1822,Vandalism,Vandalism,6/3/18,1,2018
Property,Downtown,7/3/18,0850,Counterfeiting/Forgery,Counterfeiting/Forgery,7/3/18,1,2018
Society,Downtown,7/3/18,0850,Drug/Narcotic Offenses,Drug/Narcotic Violations,7/3/18,1,2018
Society,Downtown,10/29/18,0721,Drug/Narcotic Offenses,Drug/Narcotic Violations,10/29/18,1,2018
Property,Downtown,4/13/18,2100,Fraud Offenses,Identity Theft,4/14/18,1,2018
Property,Downtown,4/13/18,2100,Larceny Offenses,All Other Larceny,4/14/18,1,2018
Property,Downtown,7/31/18,0845,Larceny Offenses,Theft From Motor Vehicle,8/1/18,1,2018
Property,Downtown,11/24/18,1735,Larceny Offenses,Theft From Motor Vehicle,11/24/18,1,2018
Property,Downtown,5/30/18,1645,Embezzlement,Embezzlement,5/30/18,1,2018
Property,Downtown,8/13/18,1622,Larceny Offenses,Shoplifting,8/13/18,1,2018
Property,Downtown,8/9/18,1900,Fraud Offenses,Credit Card/ATM Fraud,8/16/18,1,2018
Person,Downtown,9/22/18,1435,Assault Offenses,Simple Assault,9/22/18,1,2018
Property,Downtown,10/16/18,1747,Larceny Offenses,Shoplifting,10/16/18,1,2018
Property,Downtown,1/17/18,1122,Robbery,Robbery,1/17/18,1,2018
Property,Downtown,1/17/18,1122,Vandalism,Vandalism,1/17/18,1,2018
Property,Downtown,3/30/18,1120,Larceny Offenses,All Other Larceny,4/2/18,1,2018
Property,Downtown,9/18/18,0001,Fraud Offenses,False Pretenses/Swindle/Confidence Game,10/3/18,1,2018
Property,Downtown,11/26/17,0000,Larceny Offenses,Theft From Building,1/3/18,1,2018
Property,Downtown,3/23/18,1452,Larceny Offenses,Theft From Motor Vehicle,3/23/18,1,2018
Property,Downtown,8/21/18,0800,Larceny Offenses,Theft From Motor Vehicle,8/24/18,1,2018
Property,Downtown,6/17/18,2015,Larceny Offenses,Theft From Motor Vehicle,6/17/18,1,2018
Property,Downtown,1/27/18,1732,Larceny Offenses,Theft From Motor Vehicle,1/27/18,1,2018
Property,Downtown,1/29/18,0009,Larceny Offenses,Theft From Motor Vehicle,1/29/18,1,2018
Property,Downtown,1/29/18,0036,Larceny Offenses,Theft From Motor Vehicle,1/29/18,1,2018
Property,Downtown,2/17/18,1700,Vandalism,Vandalism,2/18/18,1,2018
Property,Downtown,3/7/18,0950,Larceny Offenses,Theft From Motor Vehicle,3/7/18,1,2018
Property,Downtown,4/19/18,1530,Motor Vehicle Theft,Motor Vehicle Theft,4/19/18,1,2018
Society,Downtown,6/8/18,1522,Drug/Narcotic Offenses,Drug/Narcotic Violations,6/8/18,1,2018
Property,Downtown,7/2/18,2330,Larceny Offenses,Theft From Motor Vehicle,7/3/18,1,2018
Property,Downtown,8/16/18,0454,Vandalism,Vandalism,8/16/18,1,2018
Property,Downtown,9/2/18,0030,Larceny Offenses,Theft From Motor Vehicle,9/2/18,1,2018
Property,Downtown,9/10/18,1145,Larceny Offenses,Theft From Motor Vehicle,9/10/18,1,2018
Property,Downtown,10/13/18,0057,Larceny Offenses,Theft From Motor Vehicle,10/13/18,1,2018
Property,Downtown,10/14/18,1200,Larceny Offenses,Theft From Motor Vehicle,10/14/18,1,2018
Property,Downtown,1/27/18,1544,Larceny Offenses,Theft From Motor Vehicle,1/27/18,1,2018
Property,Downtown,1/31/18,1625,Vandalism,Vandalism,2/1/18,1,2018
Property,Downtown,4/4/18,1245,Larceny Offenses,Theft From Motor Vehicle,4/4/18,1,2018
Property,Downtown,4/25/18,1900,Larceny Offenses,Theft From Motor Vehicle,5/1/18,1,2018
Property,Downtown,5/7/18,1900,Larceny Offenses,Theft From Motor Vehicle,5/7/18,1,2018
Property,Downtown,5/15/18,2230,Larceny Offenses,Theft From Motor Vehicle,5/16/18,1,2018
Property,Downtown,5/20/18,1237,Larceny Offenses,Theft From Motor Vehicle,5/20/18,1,2018
Property,Downtown,7/14/18,0030,Larceny Offenses,Theft From Motor Vehicle,7/14/18,1,2018
Property,Downtown,7/20/18,1745,Larceny Offenses,Theft From Motor Vehicle,7/21/18,1,2018
Property,Downtown,10/19/18,1730,Larceny Offenses,Theft From Motor Vehicle,10/19/18,1,2018
Property,Downtown,10/23/18,1445,Larceny Offenses,Theft From Motor Vehicle,10/23/18,1,2018
Property,Downtown,10/23/18,1545,Larceny Offenses,Theft From Motor Vehicle,10/23/18,1,2018
Property,Downtown,10/24/18,1706,Larceny Offenses,Theft From Motor Vehicle,10/24/18,1,2018
Property,Downtown,11/3/18,0018,Larceny Offenses,Theft From Motor Vehicle,11/3/18,1,2018
Property,Downtown,11/4/18,1525,Larceny Offenses,Theft From Motor Vehicle,11/13/18,1,2018
Property,Downtown,11/23/18,1245,Larceny Offenses,Theft From Motor Vehicle,11/23/18,1,2018
Property,Downtown,12/8/18,1040,Larceny Offenses,Theft From Motor Vehicle,12/8/18,1,2018
Property,Downtown,12/8/18,1700,Larceny Offenses,Theft From Motor Vehicle,12/9/18,1,2018
Property,Downtown,12/26/18,1830,Larceny Offenses,Theft From Motor Vehicle,12/26/18,1,2018
Property,Downtown,2/26/18,1026,Fraud Offenses,Identity Theft,2/26/18,1,2018
Society,Downtown,4/11/18,1933,Drug/Narcotic Offenses,Drug/Narcotic Violations,4/11/18,1,2018
Property,Downtown,5/12/18,1401,Larceny Offenses,Shoplifting,5/12/18,1,2018
Property,Downtown,5/24/18,1205,Larceny Offenses,Shoplifting,5/24/18,1,2018
Property,Downtown,10/20/18,1300,Burglary,Burglary,10/21/18,1,2018
Person,Downtown,11/19/18,1200,Assault Offenses,Intimidation,11/20/18,1,2018
Property,Downtown,11/26/18,1846,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,3/6/18,1100,Larceny Offenses,Shoplifting,3/6/18,1,2018
Property,Downtown,12/3/18,1645,Larceny Offenses,Shoplifting,12/4/18,1,2018
Property,Downtown,11/28/18,1920,Larceny Offenses,Shoplifting,11/29/18,1,2018
Property,Downtown,8/13/18,1000,Counterfeiting/Forgery,Counterfeiting/Forgery,8/13/18,1,2018
Property,Downtown,9/12/18,0600,Larceny Offenses,Theft From Motor Vehicle,9/12/18,1,2018
Society,Downtown,2/26/18,1027,Drug/Narcotic Offenses,Drug/Narcotic Violations,2/26/18,1,2018
Person,Downtown,11/24/17,0800,Assault Offenses,Simple Assault,1/1/18,1,2018
Property,Downtown,5/12/18,0800,Larceny Offenses,All Other Larceny,8/29/18,1,2018
Property,Downtown,9/10/18,1531,Larceny Offenses,Theft From Building,9/10/18,1,2018
Property,Downtown,10/28/18,1053,Vandalism,Vandalism,10/28/18,1,2018
Society,Downtown,10/28/18,1053,Drug/Narcotic Offenses,Drug/Narcotic Violations,10/28/18,1,2018
Property,Downtown,4/27/18,1245,Larceny Offenses,All Other Larceny,4/27/18,1,2018
Property,Downtown,6/24/18,1100,Larceny Offenses,Theft From Motor Vehicle,6/24/18,1,2018
Property,Downtown,7/15/18,1900,Larceny Offenses,All Other Larceny,8/22/18,1,2018
Property,Downtown,1/3/18,0001,Fraud Offenses,Identity Theft,1/3/18,1,2018
Property,Downtown,1/3/18,0001,Larceny Offenses,Theft From Building,1/3/18,1,2018
Person,Downtown,4/15/18,0055,Assault Offenses,Simple Assault,4/15/18,1,2018
Property,Downtown,8/13/18,1110,Larceny Offenses,Theft From Motor Vehicle,8/13/18,1,2018
Property,Downtown,10/29/18,1624,Larceny Offenses,Theft From Building,11/1/18,1,2018
Property,Downtown,11/26/18,1631,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,5/13/18,2215,Larceny Offenses,Theft From Motor Vehicle,5/14/18,1,2018
Property,Downtown,1/10/18,0919,Vandalism,Vandalism,1/10/18,1,2018
Person,Downtown,1/16/18,1718,Assault Offenses,Aggravated Assault,1/16/18,1,2018
Property,Downtown,1/16/18,1718,Larceny Offenses,Shoplifting,1/16/18,1,2018
Property,Downtown,2/13/18,1739,Larceny Offenses,Shoplifting,2/13/18,1,2018
Property,Downtown,2/24/18,1300,Robbery,Robbery,2/24/18,1,2018
Property,Downtown,3/7/18,1548,Larceny Offenses,Shoplifting,3/7/18,1,2018
Property,Downtown,3/15/18,2208,Larceny Offenses,Shoplifting,3/15/18,1,2018
Society,Downtown,3/15/18,2208,Drug/Narcotic Offenses,Drug/Narcotic Violations,3/15/18,1,2018
Property,Downtown,4/18/18,1139,Larceny Offenses,Shoplifting,4/18/18,1,2018
Property,Downtown,4/21/18,2045,Larceny Offenses,Shoplifting,4/21/18,1,2018
Property,Downtown,5/2/18,1535,Larceny Offenses,Shoplifting,5/2/18,1,2018
Person,Downtown,5/7/18,1319,Assault Offenses,Simple Assault,5/7/18,1,2018
Property,Downtown,5/7/18,1201,Larceny Offenses,Shoplifting,5/7/18,1,2018
Property,Downtown,5/24/18,1020,Larceny Offenses,Shoplifting,5/24/18,1,2018
Property,Downtown,5/26/18,1724,Larceny Offenses,Shoplifting,5/30/18,1,2018
Property,Downtown,5/12/18,1205,Embezzlement,Embezzlement,6/3/18,1,2018
Property,Downtown,6/13/18,0911,Robbery,Robbery,6/13/18,1,2018
Property,Downtown,6/13/18,0911,Vandalism,Vandalism,6/13/18,1,2018
Property,Downtown,6/14/18,1251,Larceny Offenses,Shoplifting,6/14/18,1,2018
Property,Downtown,6/20/18,1736,Larceny Offenses,Shoplifting,6/21/18,1,2018
Property,Downtown,7/5/18,0846,Larceny Offenses,Theft From Motor Vehicle,7/5/18,1,2018
Property,Downtown,7/18/18,1855,Larceny Offenses,Theft From Building,7/18/18,1,2018
Property,Downtown,7/26/18,1333,Larceny Offenses,Shoplifting,7/26/18,1,2018
Property,Downtown,7/26/18,1829,Larceny Offenses,Shoplifting,7/27/18,1,2018
Property,Downtown,7/31/18,2138,Larceny Offenses,Shoplifting,7/31/18,1,2018
Property,Downtown,8/11/18,1142,Larceny Offenses,Shoplifting,8/11/18,1,2018
Property,Downtown,9/14/18,1430,Robbery,Robbery,9/14/18,1,2018
Property,Downtown,9/20/18,0943,Larceny Offenses,Shoplifting,9/20/18,1,2018
Person,Downtown,9/26/18,1323,Assault Offenses,Simple Assault,9/26/18,1,2018
Property,Downtown,9/26/18,1728,Vandalism,Vandalism,9/26/18,1,2018
Property,Downtown,9/27/18,1920,Counterfeiting/Forgery,Counterfeiting/Forgery,9/27/18,1,2018
Property,Downtown,10/4/18,2200,Robbery,Robbery,10/4/18,1,2018
Property,Downtown,10/27/18,1330,Robbery,Robbery,10/27/18,1,2018
Property,Downtown,11/5/18,2044,Larceny Offenses,Shoplifting,11/5/18,1,2018
Property,Downtown,11/17/18,1415,Larceny Offenses,Shoplifting,11/17/18,1,2018
Property,Downtown,11/19/18,1955,Larceny Offenses,Shoplifting,11/19/18,1,2018
Property,Downtown,11/24/18,1347,Larceny Offenses,Shoplifting,11/24/18,1,2018
Property,Downtown,11/27/18,1055,Fraud Offenses,False Pretenses/Swindle/Confidence Game,11/27/18,1,2018
Person,Downtown,11/29/18,1630,Assault Offenses,Simple Assault,11/29/18,1,2018
Property,Downtown,11/29/18,1630,Vandalism,Vandalism,11/29/18,1,2018
Property,Downtown,12/10/18,2017,Larceny Offenses,Shoplifting,12/10/18,1,2018
Property,Downtown,12/31/18,0730,Larceny Offenses,Theft From Motor Vehicle,12/31/18,1,2018
Property,Downtown,1/4/18,0830,Larceny Offenses,Theft From Motor Vehicle,1/5/18,1,2018
Property,Downtown,1/30/18,1500,Larceny Offenses,Theft From Motor Vehicle,2/6/18,1,2018
Property,Downtown,3/28/18,1900,Larceny Offenses,Theft From Motor Vehicle,3/28/18,1,2018
Property,Downtown,4/14/18,2359,Vandalism,Vandalism,4/15/18,1,2018
Property,Downtown,4/15/18,0245,Vandalism,Vandalism,4/15/18,1,2018
Property,Downtown,4/29/18,2100,Larceny Offenses,Theft From Motor Vehicle,4/30/18,1,2018
Property,Downtown,5/11/18,2000,Larceny Offenses,Theft From Motor Vehicle,5/14/18,1,2018
Property,Downtown,5/11/18,0930,Vandalism,Vandalism,5/15/18,1,2018
Property,Downtown,5/25/18,1025,Fraud Offenses,False Pretenses/Swindle/Confidence Game,6/13/18,1,2018
Property,Downtown,7/5/18,1205,Larceny Offenses,Theft From Motor Vehicle,7/5/18,1,2018
Property,Downtown,8/11/18,1910,Larceny Offenses,Theft From Motor Vehicle,8/14/18,1,2018
Property,Downtown,8/18/18,1430,Vandalism,Vandalism,8/18/18,1,2018
Property,Downtown,8/19/18,0001,Fraud Offenses,Credit Card/ATM Fraud,8/20/18,1,2018
Property,Downtown,8/25/18,0530,Larceny Offenses,Theft From Motor Vehicle,8/26/18,1,2018
Property,Downtown,9/1/18,0200,Larceny Offenses,Theft From Motor Vehicle,9/1/18,1,2018
Property,Downtown,9/2/18,0100,Larceny Offenses,Theft From Motor Vehicle,9/2/18,1,2018
Property,Downtown,9/2/18,0300,Vandalism,Vandalism,9/4/18,1,2018
Property,Downtown,11/8/18,1000,Vandalism,Vandalism,11/8/18,1,2018
Property,Downtown,12/26/18,1330,Larceny Offenses,Theft From Motor Vehicle,12/28/18,1,2018
Property,Downtown,4/20/18,1900,Burglary,Burglary,4/21/18,1,2018
Property,Downtown,6/22/18,1809,Burglary,Burglary,6/23/18,1,2018
Property,Downtown,7/10/18,0800,Vandalism,Vandalism,7/11/18,1,2018
Property,Downtown,7/20/18,1457,Fraud Offenses,False Pretenses/Swindle/Confidence Game,7/21/18,1,2018
Property,Downtown,9/7/18,1600,Larceny Offenses,All Other Larceny,9/7/18,1,2018
Property,Downtown,9/24/18,1711,Arson,Arson,9/24/18,1,2018
Property,Downtown,9/24/18,1711,Larceny Offenses,Theft From Motor Vehicle,9/24/18,1,2018
Property,Downtown,9/24/18,1711,Motor Vehicle Theft,Motor Vehicle Theft,9/24/18,1,2018
Property,Downtown,9/24/18,1711,Vandalism,Vandalism,9/24/18,1,2018
Property,Downtown,9/26/18,1957,Burglary,Burglary,9/26/18,1,2018
Property,Downtown,12/23/18,1245,Robbery,Robbery,12/23/18,1,2018
Property,Downtown,6/20/18,0319,Burglary,Burglary,6/20/18,1,2018
Property,Downtown,8/15/18,1424,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,8/15/18,1,2018
Property,Downtown,9/27/18,1400,Fraud Offenses,Identity Theft,10/1/18,1,2018
Property,Downtown,9/27/18,1400,Fraud Offenses,Wire Fraud,10/1/18,1,2018
Property,Downtown,10/1/18,1600,Larceny Offenses,All Other Larceny,10/8/18,1,2018
Property,Downtown,4/15/18,0850,Larceny Offenses,Theft From Motor Vehicle,4/15/18,1,2018
Person,Downtown,1/27/18,1540,Assault Offenses,Aggravated Assault,1/27/18,1,2018
Property,Downtown,10/22/18,1800,Larceny Offenses,Theft From Motor Vehicle,10/22/18,1,2018
Person,Downtown,4/20/18,1909,Assault Offenses,Aggravated Assault,4/20/18,1,2018
Property,Downtown,4/30/18,1209,Fraud Offenses,False Pretenses/Swindle/Confidence Game,4/30/18,1,2018
Property,Downtown,8/13/18,1300,Larceny Offenses,Theft From Building,8/13/18,1,2018
Property,Downtown,12/14/18,1517,Fraud Offenses,Credit Card/ATM Fraud,12/14/18,1,2018
Property,Downtown,5/16/18,1340,Fraud Offenses,Identity Theft,5/22/18,1,2018
Property,Downtown,7/30/18,1900,Larceny Offenses,Theft From Motor Vehicle,7/31/18,1,2018
Property,Downtown,5/9/18,0001,Burglary,Burglary,5/21/18,1,2018
Property,Downtown,5/27/18,0001,Burglary,Burglary,6/17/18,1,2018
Property,Downtown,7/4/18,0134,Larceny Offenses,All Other Larceny,7/4/18,1,2018
Property,Downtown,10/21/18,1134,Larceny Offenses,Theft From Motor Vehicle,10/21/18,1,2018
Property,Downtown,8/8/18,0200,Larceny Offenses,Theft From Motor Vehicle,8/8/18,1,2018
Property,Downtown,7/24/18,0617,Motor Vehicle Theft,Motor Vehicle Theft,7/24/18,1,2018
Property,Downtown,9/5/18,1549,Larceny Offenses,Theft From Motor Vehicle,9/11/18,1,2018
Property,Downtown,2/16/18,2300,Larceny Offenses,Theft From Motor Vehicle,2/17/18,1,2018
Property,Downtown,1/5/18,0854,Larceny Offenses,Shoplifting,1/5/18,1,2018
Property,Downtown,1/9/18,0800,Larceny Offenses,Shoplifting,1/9/18,1,2018
Property,Downtown,1/12/18,1615,Larceny Offenses,Shoplifting,1/12/18,1,2018
Person,Downtown,1/17/18,1122,Assault Offenses,Simple Assault,1/17/18,2,2018
Property,Downtown,1/17/18,1122,Larceny Offenses,Shoplifting,1/17/18,1,2018
Property,Downtown,1/17/18,1122,Vandalism,Vandalism,1/17/18,1,2018
Property,Downtown,2/16/18,1445,Larceny Offenses,Shoplifting,2/16/18,1,2018
Property,Downtown,4/10/18,1900,Larceny Offenses,Theft From Building,4/12/18,1,2018
Property,Downtown,5/24/18,0954,Larceny Offenses,Shoplifting,5/24/18,1,2018
Property,Downtown,6/3/18,1130,Larceny Offenses,Shoplifting,6/5/18,1,2018
Property,Downtown,6/5/18,2003,Larceny Offenses,Shoplifting,6/5/18,1,2018
Property,Downtown,6/7/18,1000,Larceny Offenses,Shoplifting,6/7/18,1,2018
Property,Downtown,6/12/18,1248,Larceny Offenses,Shoplifting,6/12/18,1,2018
Property,Downtown,6/13/18,1648,Vandalism,Vandalism,6/13/18,1,2018
Property,Downtown,6/14/18,1214,Larceny Offenses,Shoplifting,6/14/18,1,2018
Property,Downtown,6/15/18,1246,Robbery,Robbery,6/15/18,1,2018
Property,Downtown,6/14/18,0938,Larceny Offenses,Shoplifting,6/15/18,1,2018
Property,Downtown,6/19/18,1254,Larceny Offenses,Shoplifting,6/19/18,1,2018
Property,Downtown,6/27/18,1800,Larceny Offenses,Shoplifting,6/27/18,1,2018
Property,Downtown,7/4/18,0529,Larceny Offenses,Theft From Motor Vehicle,7/4/18,1,2018
Property,Downtown,7/6/18,1606,Larceny Offenses,Shoplifting,7/6/18,1,2018
Property,Downtown,7/7/18,1311,Larceny Offenses,Shoplifting,7/7/18,1,2018
Property,Downtown,7/12/18,1900,Larceny Offenses,Shoplifting,7/12/18,1,2018
Property,Downtown,7/29/18,1637,Larceny Offenses,Shoplifting,7/29/18,1,2018
Property,Downtown,8/21/18,0914,Larceny Offenses,Shoplifting,8/21/18,1,2018
Property,Downtown,8/25/18,1110,Larceny Offenses,Shoplifting,8/25/18,1,2018
Property,Downtown,8/30/18,1843,Larceny Offenses,Shoplifting,8/30/18,1,2018
Property,Downtown,9/2/18,1309,Larceny Offenses,Shoplifting,9/2/18,1,2018
Property,Downtown,11/28/18,1145,Larceny Offenses,Theft From Building,11/28/18,1,2018
Property,Downtown,12/13/18,1018,Vandalism,Vandalism,12/13/18,1,2018
Property,Downtown,12/24/18,1505,Larceny Offenses,Shoplifting,12/24/18,1,2018
Property,Downtown,5/26/18,1350,Larceny Offenses,Shoplifting,5/26/18,1,2018
Property,Downtown,5/31/18,1800,Larceny Offenses,Shoplifting,5/31/18,1,2018
Property,Downtown,8/20/18,0956,Larceny Offenses,Purse-Snatching,8/20/18,1,2018
Property,Downtown,9/14/18,0340,Larceny Offenses,All Other Larceny,9/14/18,1,2018
Property,Downtown,4/3/18,0000,Vandalism,Vandalism,4/4/18,1,2018
Property,Downtown,11/27/18,0830,Larceny Offenses,Theft From Motor Vehicle,12/4/18,1,2018
Property,Downtown,12/17/18,1000,Vandalism,Vandalism,12/18/18,1,2018
Property,Downtown,2/27/18,1704,Larceny Offenses,All Other Larceny,2/27/18,1,2018
Property,Downtown,12/22/18,0359,Vandalism,Vandalism,12/22/18,1,2018
Property,Downtown,1/2/18,1800,Larceny Offenses,All Other Larceny,3/5/18,1,2018
Property,Downtown,4/21/18,2110,Robbery,Robbery,4/23/18,1,2018
Property,Downtown,7/9/18,1246,Robbery,Robbery,7/9/18,1,2018
Property,Downtown,7/21/18,1844,Larceny Offenses,Shoplifting,7/21/18,1,2018
Property,Downtown,7/23/18,1756,Larceny Offenses,Shoplifting,7/23/18,1,2018
Property,Downtown,10/23/18,1405,Larceny Offenses,Shoplifting,10/23/18,1,2018
Person,Downtown,10/24/18,1228,Assault Offenses,Simple Assault,10/24/18,1,2018
Property,Downtown,10/24/18,1228,Larceny Offenses,Shoplifting,10/24/18,1,2018
Property,Downtown,11/20/18,1732,Robbery,Robbery,11/20/18,1,2018
Property,Downtown,11/19/18,0939,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,11/7/18,1031,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,11/9/18,0926,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,11/9/18,0926,Larceny Offenses,Shoplifting,11/26/18,1,2018
Property,Downtown,8/3/18,1604,Larceny Offenses,Shoplifting,8/3/18,1,2018
Person,Downtown,1/8/18,2335,Assault Offenses,Simple Assault,1/8/18,1,2018
Property,Downtown,1/16/18,1900,Larceny Offenses,All Other Larceny,1/17/18,1,2018
Person,Downtown,1/21/18,1711,Assault Offenses,Simple Assault,1/21/18,2,2018
Person,Downtown,1/24/18,2144,Assault Offenses,Simple Assault,1/24/18,1,2018
Property,Downtown,1/30/18,1735,Larceny Offenses,Shoplifting,1/30/18,1,2018
Property,Downtown,1/19/18,1933,Larceny Offenses,Shoplifting,2/8/18,1,2018
Property,Downtown,1/29/18,1852,Larceny Offenses,Shoplifting,2/8/18,1,2018
Property,Downtown,2/7/18,1947,Larceny Offenses,Shoplifting,2/8/18,1,2018
Property,Downtown,2/22/18,0938,Vandalism,Vandalism,2/22/18,1,2018
Property,Downtown,3/4/18,1240,Larceny Offenses,Shoplifting,3/4/18,1,2018
Property,Downtown,3/15/18,1744,Larceny Offenses,Shoplifting,3/15/18,1,2018
Property,Downtown,3/30/18,1404,Larceny Offenses,Shoplifting,3/30/18,1,2018
Person,Downtown,4/7/18,2359,Assault Offenses,Simple Assault,4/8/18,1,2018
Person,Downtown,4/8/18,1611,Assault Offenses,Intimidation,4/8/18,1,2018
Property,Downtown,4/18/18,1106,Larceny Offenses,Shoplifting,4/18/18,1,2018
Property,Downtown,4/28/18,1944,Robbery,Robbery,4/28/18,1,2018
Property,Downtown,5/6/18,1352,Larceny Offenses,Shoplifting,5/6/18,1,2018
Property,Downtown,5/7/18,1145,Larceny Offenses,Shoplifting,5/7/18,1,2018
Property,Downtown,6/13/18,1751,Larceny Offenses,Shoplifting,6/13/18,1,2018
Property,Downtown,6/13/18,1756,Fraud Offenses,False Pretenses/Swindle/Confidence Game,6/13/18,1,2018
Property,Downtown,6/15/18,1130,Larceny Offenses,Shoplifting,6/15/18,1,2018
Society,Downtown,6/15/18,1635,Drug/Narcotic Offenses,Drug/Narcotic Violations,6/15/18,1,2018
Property,Downtown,6/15/18,1921,Larceny Offenses,Shoplifting,6/16/18,1,2018
Person,Downtown,6/18/18,1008,Assault Offenses,Simple Assault,6/18/18,1,2018
Person,Downtown,6/25/18,1709,Assault Offenses,Simple Assault,6/25/18,1,2018
Property,Downtown,7/1/18,1509,Larceny Offenses,All Other Larceny,7/1/18,1,2018
Property,Downtown,7/11/18,1940,Larceny Offenses,Shoplifting,7/12/18,1,2018
Property,Downtown,7/30/18,1007,Larceny Offenses,Shoplifting,7/30/18,1,2018
Property,Downtown,8/2/18,1515,Larceny Offenses,Shoplifting,8/2/18,1,2018
Property,Downtown,8/14/18,1345,Larceny Offenses,All Other Larceny,8/14/18,1,2018
Property,Downtown,8/18/18,1730,Larceny Offenses,Shoplifting,8/18/18,1,2018
Property,Downtown,8/25/18,0948,Larceny Offenses,Shoplifting,8/25/18,1,2018
Property,Downtown,8/28/18,1230,Larceny Offenses,Shoplifting,8/28/18,1,2018
Property,Downtown,9/1/18,1718,Larceny Offenses,Shoplifting,9/1/18,1,2018
Property,Downtown,9/13/18,1600,Larceny Offenses,Shoplifting,9/13/18,1,2018
Person,Downtown,9/17/18,1830,Assault Offenses,Simple Assault,9/17/18,1,2018
Property,Downtown,9/20/18,1538,Larceny Offenses,All Other Larceny,9/20/18,1,2018
Property,Downtown,10/2/18,1641,Larceny Offenses,Shoplifting,10/2/18,1,2018
Person,Downtown,10/10/18,0846,Assault Offenses,Simple Assault,10/10/18,1,2018
Person,Downtown,10/18/18,1527,Assault Offenses,Aggravated Assault,10/18/18,1,2018
Property,Downtown,10/25/18,1818,Larceny Offenses,Shoplifting,10/26/18,1,2018
Property,Downtown,11/5/18,2241,Vandalism,Vandalism,11/5/18,1,2018
Property,Downtown,11/2/18,1646,Larceny Offenses,Shoplifting,11/12/18,1,2018
Property,Downtown,11/12/18,1750,Larceny Offenses,Shoplifting,11/12/18,1,2018
Property,Downtown,11/18/18,1157,Burglary,Burglary,11/18/18,1,2018
Property,Downtown,11/27/18,0200,Larceny Offenses,Theft From Building,11/29/18,1,2018
Property,Downtown,11/30/18,1446,Larceny Offenses,Shoplifting,11/30/18,1,2018
Property,Downtown,11/30/18,1713,Larceny Offenses,All Other Larceny,11/30/18,1,2018
Property,Downtown,12/24/18,1244,Larceny Offenses,Shoplifting,12/24/18,1,2018
Property,Downtown,8/22/18,1522,Larceny Offenses,Shoplifting,9/12/18,1,2018
Property,Downtown,1/30/18,1526,Larceny Offenses,Theft From Building,1/31/18,1,2018
Property,Downtown,3/10/18,1330,Larceny Offenses,All Other Larceny,3/10/18,1,2018
Property,Downtown,3/14/18,1841,Larceny Offenses,Shoplifting,3/14/18,1,2018
Property,Downtown,3/15/18,1818,Larceny Offenses,Shoplifting,3/16/18,1,2018
Property,Downtown,3/20/18,1210,Larceny Offenses,Shoplifting,3/20/18,1,2018
Property,Downtown,4/6/18,1824,Larceny Offenses,Shoplifting,4/6/18,1,2018
Property,Downtown,4/18/18,1231,Larceny Offenses,Shoplifting,4/19/18,1,2018
Property,Downtown,5/5/18,1328,Larceny Offenses,Shoplifting,5/6/18,1,2018
Property,Downtown,7/14/18,1439,Larceny Offenses,Shoplifting,7/14/18,1,2018
Property,Downtown,7/14/18,1608,Larceny Offenses,Shoplifting,7/14/18,1,2018
Property,Downtown,7/17/18,1721,Larceny Offenses,Shoplifting,7/18/18,1,2018
Property,Downtown,7/17/18,1800,Larceny Offenses,Shoplifting,7/18/18,1,2018
Property,Downtown,7/26/18,1704,Larceny Offenses,Shoplifting,7/28/18,1,2018
Property,Downtown,7/30/18,1115,Larceny Offenses,Shoplifting,7/30/18,1,2018
Property,Downtown,7/31/18,1800,Larceny Offenses,Theft From Motor Vehicle,7/31/18,1,2018
Property,Downtown,8/4/18,1059,Larceny Offenses,Shoplifting,8/4/18,1,2018
Property,Downtown,8/3/18,1734,Larceny Offenses,Shoplifting,8/5/18,1,2018
Property,Downtown,8/7/18,1759,Larceny Offenses,Shoplifting,8/7/18,1,2018
Property,Downtown,8/14/18,1930,Larceny Offenses,Shoplifting,8/17/18,1,2018
